1,地球,earth,月球,垃圾,moon
2,焦糖蘋果,caramel,棒棒糖,蘋果,lollipop
3,甜心蜂巢,beehive,蜂蜜棒,蜂蜜,honey_dipper
4,乳牛王,cow,乳酪,牛奶,cheese
5,水世界,water,瓶中信,水,letter_in_the_bottle
6,遠古鳳尾蕨,fern,太空垃圾,孢子,space_garbage
7,漂浮原石,stone,人造衛星,石頭,artificial_satellite
8,機械之心,gear,齒輪,齒輪,gear
9,冰天雪地,snow,雪球,雪,snow_ball
10,黃金油礦,olive,橄欖樹,油,olive_tree
11,雅典娜之月,star,聖誕星星,隕石,christmas_star
12,冰河時期,iceberg,雪花,冰塊,snow_flower
13,鷹巢,nest,羽毛球,蛋,feather_ball
14,柳橙果凍,jelly,冰棒,果凍,popsicle
15,泡泡糖,bubble,彩虹球,空氣,rainbow
16,鳳梨丘陵,pineapple,黃色果汁機,鳳梨,yellow_juicer
17,草莓餅乾,strawberry,牛奶罐,草莓,bottle_of_milk
18,工業時代,iron,探測機,螺絲,detector
19,雪瓜之星,hami,綠色果汁機,哈密瓜,juicer
20,紅色珊瑚,coral,珍珠,珊瑚,pearl
21,荒漠沙原,sand,魔法石,土壤,magic_stone
22,章魚洞穴,octopus,沉船,章魚,sinked_boat
23,鱷魚沼澤,swamp,魚眼斑點,瓦斯,fish_eyeball
24,迷霧基地,smoky,太空海盜戰艦,蒸汽,space_priates_battleship
25,火山熔岩,lava,鑽探機,化石,drilling_machine
26,夜光蘑菇,mushroom,藍寶石,香菇,sapphire
27,香蕉船,banana,小雨傘,聖代,lettle_umbrella
28,褐角山谷,deer,草球,皮革,grass_ball
29,糖果甜心,candy,拐杖糖,糖果,candy_cane
30,洋芋巨塔,potato,零食,馬鈴薯,snacks
31,喵喵毛球,cat,老鼠,布料,rat
32,七彩水晶,crystal,琥珀,水晶,amber
33,微風沙漠,cactus,黃光球,仙人掌汁,yellow_light_ball
34,甜甜圈,donut,馬卡龍,糖,macaron
35,花朵莊園,flower,藍光球,花,blue_light_ball
36,HA42N55,virus,邪惡博士的太空船,病毒,spacecraft_of_dr_evil
37,巨人甜椒,pepper,紅寶石,甜椒,ruby
38,僵屍腦袋,brain,點滴,血液,drip_machine
39,紅色深坑,beetle,小熊軟糖,染料,gummy_bear
40,提琴山谷,music,鈴鐺,音符,bell
41,日落草原,wheat,稻草人,麥子,scarecrow
42,平靜草原,grass,綠寶石,香料,emerald
43,巫婆巢穴,witch,蝙蝠,南瓜,bat
44,電路之城,circuit,電池,晶片,battery
45,寶藏礦坑,mine,鑽石,金屬,diamond
46,燃燒之心,flame,火球,火,fireball
47,野豬部落,pig,火腿,肉類,hami_ham
48,軟綿綿山丘,sheep,毛線球,羊毛,ball_of_yarn
49,西瓜峽谷,watermelon,紅色果汁機,西瓜,red_juicer
50,亞馬遜森林,forest,花球,木頭,flower_ball
51,巧克力流域,chocolate,棉花糖,巧克力,cotton_candy
52,中國城,newyear,中國龍,元寶,chinese_dragon
53,對望之山,valentine,情書,鑽石,love_letter
54,童年之城,childfes,積木,玩具,toy_blocks
55,彩虹之石,easter,彩蛋,色彩,easter_egg
56,家事工廠,mother,愛心,愛,sweet_heart
57,龍舟湍流,dragonboat,香包,葉子,sachet
58,寧靜之河,ghostfes,符咒,靈魂,magic_rune
59,忙碌城市,father,煙斗,紐扣,pipe
60,月影湖泊,moonfes,月餅,光,moon_cake
61,驚奇南瓜,halloween,魔法陣,尖叫,magic_circle
62,眾賜之地,thanksgiving,火雞羽毛,雞肉,turkey_feather
63,環狀森林,christmas,聖誕禮物,鈴鐺,xmas_gift
64,深海魚缸,fishpot,鳳螺,魚骨,buccinidae
65,遺落之門,artifact,偵察艦,意識,scoutship
66,靈感之源,bulb,插頭,靈感,plug
67,球狀比賽,soccer,足球,熱情,soccer
68,隱形基地,invisible,隱形walkr,隱形藥,invisible_walkr
69,漢堡山脈,burger,可樂罐,薯條,coke
70,爆米花監獄,popcorn,DVD,玉米花,dvd
71,豆子的家,bone,狗碗,獸牙,dog_bowl
72,淚水雲,cloud,烏鴉,雲,raven
73,無盡賽道,racing,輪胎,歡呼聲,tire
74,羅馬競技場,roman,羅馬頭盔,戰魂,roman_helmet
75,遠古世界樹,ruins,符文石,符文,rune_stone
76,維京空飛船,viking,號角,銅幣,horn
77,石器時代,stoneage,石碑,鐵盤,rune_plate
78,憤怒巨龍,dragon,騎士盾牌,龍爪,knight_shield
79,黑白竹園,panda,竹筒,竹葉,bamboo
80,漂浮圖書館,library,字典,知識,dictionary
81,平靜墓園,tomb,墓碑,骨頭,monument
82,星際傳送門,portal,能量石,超能力,energy_stone
83,巨浪之海,ocean,水塞,鹽,blige_plug
84,夢田,fluffy,馬來貘,夢,malayan_tapir
85,水草樂園,seaweed,海星,絨毛,starfish
86,蓮花水塘,pond,蓮蓬,蓮子,shower
87,霓虹派對,neon,七彩霓虹燈,氖氣,neon_lights
88,小丑馬戲團,circus,火圈獅子,入場卷,fire_ring_lion
89,深海巨鯨,whale,熱帶魚,鯨魚聲波,tropical_fish
90,獅子草原,aborigine,非洲鼓,神秘符號,djembe
91,掏金鎮,cowboy,cowboy_hat,星星徽章,cowboy_hat
92,刺蝟寶寶,hedgehog,渾天儀,毒刺,armillary_sphere
93,櫻花神社,sakura,heating_light_bulbs,櫻花花瓣,heating_light_bulbs
94,萬里長城,greatwall,picture_horse,石磚,picture_horse
95,九份燈籠城,jiufen,red_lantern,燈火,red_lantern
96,地中海城,mediterranean,pepper,橄欖,pepper
97,-,-,天網防禦系統,-,arc_net_shield
98,-,-,渾天儀,-,armillary_sphere
99,-,-,電動玩具,-,game_girl
100,-,-,耐力皇冠,-,crown
101,-,-,哈博望遠鏡,-,hubble_telescope
102,-,-,魔術方塊,-,magic_cube
